course_id,catalogue_id,course_name,course_name_short,department_name,course_description,units,grading_type,grade_requirement,prerequisites,corequisites,pre_co_requisites,misc_lab,GE_area,course_level,course_notes
114750,13,AAS 145 - Urban Policy and Its Impact on Inner City Residents,AAS 145,AAS,Effects of public policy decisions on inner city populations. Implications of urban planning processes for differential consumption costs of public goods and services.,4 unit(s),Letter Graded,C-,Upper division standing.,,,,,Upper,
114751,13,HIST 20A - History of the American People,HIST 20A,HIST,"Survey of continuity and change in society, culture, institutions and environment. Origins through slavery conflict.",3 unit(s),Letter Graded,C-,,,,,American Institutions US1: US History.,Lower,
114752,13,HIST 20B - History of the American People,HIST 20B,HIST,"Survey of continuity and change in society, culture, institutions and environment. Emergence of modern society and world power status.",3 unit(s),Letter Graded,C-,,,,,American Institutions US1: US History.,Lower,
114753,13,AAS 125 - Filipino Experience in the United States,AAS 125,AAS,Filipinos in the United States beginning with immigration and culminating with analysis of past and contemporary issues facing Filipino Americans.,3 unit(s),Letter Graded,C-,,,,,,Upper,
114754,13,AAS 170 - Special Topics in Asian American Studies,AAS 170,AAS,Focus varies each semester and is announced in the schedule of classes. Repeatable for credit with program coordinator approval.,3 unit(s),Letter Graded,C-,,,,,,Upper,
114755,13,HIST 170 - Topics in American History,HIST 170,HIST,An investigation in depth of selected periods or problems. Repeatable for credit when topic changes.,3 unit(s),Letter Graded,C-,Upper division standing.,,,,American Institutions US1: US History.,Upper,No credit for history majors or minors.
114756,13,AAS 180 - Individual Studies,AAS 180,AAS,Individual study and research.,1-4 unit(s),Credit/No Credit,C-,Not available to Open University Students.,,,,,Upper,
114757,13,AAS 185 - Multicultural Perspectives within American Society,AAS 185,AAS,Examination of historical and sociocultural perspectives of American ethnic minorities. Theoretical and methodological approaches to the study of American ethnic minorities.,3 unit(s),Letter Graded,C-,Upper division or Graduate/PBAC standing.,,,,,Upper,
114758,13,AAS 186 - Southeast Asian Diaspora in the US,AAS 186,AAS,"Introduction to the field of critical refugee studies and Southeast Asian American studies. Focuses on the diasporic movements of people due to the Wars in Southeast Asia, popularly known as the &#8220;Vietnam War&#8221;. Analyzes war, empire, militarism, and humanitarianism to better conceptualize a refugee epistemology. Examines how particular refugee subjects - Vietnamese, Cambodian, Lao, Hmong - negotiate their refugee status and stories via memory and cultural production.",3 unit(s),Letter Graded,C-,Upper division standing.,,,,,Upper,
114759,13,AAS 190 - Internship,AAS 190,AAS,"On-site experience with an Asian American community organization. Regular class meetings scheduled to discuss knowledge, skills and ideas related to the internship experience. Repeatable for credit with program coordinator approval.",1-4 unit(s),Credit/No Credit,C-,AAS 33B or instructor consent.,,,,,Upper,
114760,13,AAS 192 - History of Japanese Americans,AAS 192,AAS,"The Japanese in America from approximately 1800. Includes relocation, wartime conditions, post-war history and contemporary situations.",3 unit(s),Letter Graded,C-,,,,,,Upper,
114761,13,POLS 1 - American Government,POLS 1,POLS,Institutions and processes of American government and democracy; the U.S. Constitution and California state and local government.,3 unit(s),Letter Graded,C-,,,,,American Institutions US2+3: US Constitution and California Government.,Lower,Satisfies American Institutions requirements in American and California government.
114762,13,HIST 189A - California History to 1900,HIST 189A,HIST,"Topics include Native American civilizations, Spanish discovery and missions, the Mexican era, the American conquest, the Gold Rush, Chinese immigration, the railroad, growth, development, politics and class conflict.",4 unit(s),Letter Graded,C-,Upper division standing or instructor consent.,,,,American Institutions US3: California Government.,Upper,Satisfies American Institutions requirement in California government.
114763,13,AAS 133 - Introduction to Social Issues in Planning,AAS 133,AAS,"Contemporary social issues related to urban and regional planning. Assessment of community social needs and resident planning. Focus on ethnic areas such as African, Asian and Mexican American neighborhoods.",4 unit(s),Letter Graded,C-,Upper division standing or instructor consent.,,,,,Upper,
114764,13,ADV 91 - Introduction to Advertising,ADV 91,ADV,"Comprehensive survey of the basic principles of advertising. Topics include: strategic planning, integrated communications, audience targeting, creative strategy, advertising media, social responsibility, advertising ethics, international advertising and current issues in advertising.",3 unit(s),Letter Graded,C-,,,,,,Lower,
114765,13,ADV 116 - Spartan Daily Advertising Staff,ADV 116,ADV,This class constitutes the paid advertising staff of the online and print editions of the Spartan Daily. Students work with clients and handle the newspaper&#8217;s advertising sales and production.,3 unit(s),Letter Graded,C-,ADV 91 or instructor consent.,,,Daily lecture and production.,,Upper,
114766,13,ADV 121 - Strategic Planning/Communications,ADV 121,ADV,"Tools and frameworks for marketing management and strategic communications, including addressing communication issues such as budgets, coordinating agency functions, and delivering an effective marketing and communications plan.",3 unit(s),Letter Graded,C-,,,,,,Upper,
114767,13,ADV 122 - Business-to-Business Advertising,ADV 122,ADV,"Principles and practices of developing marketing communications programs and collateral materials for business-to-business products and services; translating technical information into persuasive communications; direct marketing, and other forms of sales support communications.",3 unit(s),Letter Graded,C-,ADV 91.,,,,,Upper,
114768,13,ADV 123 - Broadcast and New Media Advertising,ADV 123,ADV,"History, development, and current applications of traditional broadcast advertising, the Internet as an advertising medium, and the implications of emerging new media. Focus is on creative strategy and media strategy.",3 unit(s),Letter Graded,C-,ADV 91.,,,,,Upper,
114769,13,ADV 124 - Copywriting,ADV 124,ADV,"Conceptual development. Advertising theory used in the development of writing, editing and evaluating advertising copy. Research methods and techniques. Ethical problems.",3 unit(s),Letter Graded,C-,"ADV 91, MCOM 100W and ENGL 71.",,,,,Upper,
114770,13,ADV 125 - Advertising Layout and Production,ADV 125,ADV,"Principles of design applied to print advertising; print production theory and practical application. Preparation of layouts and mechanicals utilizing latest computer applications. Instruction in use of type, printing processes, types of paper, uses of color.",3 unit(s),Letter Graded,C-,ADV 91.,,,,,Upper,
114771,13,ADV 126 - Media Planning and Buying,ADV 126,ADV,"Theory, evaluation and selection of advertising media for a variety of target audiences; demographics and psychographics. Students plan, buy and measure the success of a real media plan.",3 unit(s),Letter Graded,C-,ADV 91 and BUS2 130.,,,,,Upper,
