course_id,relation_id,relation_type,grade_requirement
114750,114867,cross,
114750,120048,cross,
114759,116960,pre,C-
114763,114873,cross,
114763,120116,cross,
114765,114764,pre,C-
114767,114764,pre,C-
114768,114764,pre,C-
114769,114764,pre,C-
114769,119873,pre,C-
114769,115870,pre,C-
114770,114764,pre,C-
114771,114764,pre,C-
114771,115608,pre,C-
114772,115608,pre,C-
114773,118396,pre,C-
114773,114765,pre,C-
114778,114764,pre,C-
114778,114776,pre,C-
114778,114781,pre,C-
114779,114764,pre,C-
114779,114776,pre,C-
114779,114781,pre,C-
114779,114778,pre,C-
114780,114764,pre,C-
114780,114776,pre,C-
114780,114781,pre,C-
114781,114776,pre,C-
114781,114764,pre,C-
114782,114828,pre,C-
114782,114787,pre,C-
114783,114815,pre,C-
114784,114822,pre,C-
114785,120026,pre,C-
114785,120135,pre,C-
114785,114811,pre,C-
114785,118441,pre,C-
114786,115089,pre,C-
114786,114811,pre,C-
114787,115352,pre,C-
114787,120167,pre,C-
114787,115062,pre,C-
114788,114811,pre,C-
114788,114786,pre,C-
114789,114784,pre,C-
114789,114816,pre,C-
114789,114787,pre,C-
114789,120126,pre,C-
114801,114800,pre,C-
114804,120126,pre,C-
114804,114811,pre,C-
114804,118441,pre,C-
114808,116964,pre,C-
114808,118187,pre,C-
114809,116964,pre,C-
114809,118187,pre,C-
114811,120026,co,C-
114811,115352,pre,C-
114811,120167,pre,C-
114811,115062,pre,C-
114815,115062,pre,C-
114815,115352,pre,C-
114815,120167,pre,C-
114816,120135,pre,C-
114816,120126,pre,C-
114816,114822,pre,C-
114822,114815,co,C-
114822,115377,pre,C-
114822,120168,pre,C-
114822,115062,pre,C-
114825,114822,pre,C-
114826,114828,pre,C-
114826,114787,pre,C-
114827,114789,co,C-
114827,114814,pre,C-
114828,115341,pre,C-
114828,120166,pre,C-
114828,115062,pre,C-
114844,119610,cross,
114847,117075,cross,
114850,116873,cross,
114850,120117,cross,
114861,116485,pre,C-
114861,116961,pre,C-
114867,114750,cross,
114867,120048,cross,
114871,116918,cross,
114872,119257,cross,
114873,114763,cross,
114873,120116,cross,
114875,119404,cross,
114876,116970,pre,C-
114880,117593,cross,
114883,117603,cross,
114884,117605,cross,
114884,119617,cross,
114889,114902,pre,C-
114889,114904,pre,C-
114890,114906,pre,C-
114891,114903,pre,C-
114892,114891,pre,C-
114893,114888,pre,C-
114894,114893,pre,C-
